loan_id,customer_id,branch_id,loan_type,application_date,loan_amount,interest_rate,tenure_months,credit_score,loan_status,default_flag,customer_name,age,gender,annual_income,customer_city,branch_name,branch_city,state,branch_type,opening_date,loan_to_income_ratio,age_group,income_bracket,estimated_emi
LN00672,CUST01633,BR044,Vehicle,2025-04-02,446702.43,13.91,24,444,Defaulted,1,Michael Hill,39.0,Male,55925.47,Mitchellchester,East Donna Branch,Williamview,Illinois,Urban,2021-09-19,7.99,36-45,Mid,18612.6
LN00730,CUST04637,BR010,Home,2025-07-31,170323.89,17.12,24,760,Rejected,0,Julie Martinez,68.0,Female,23993.19,Gillport,Cassandraton Branch,North Richardmouth,Arizona,Rural,2022-04-27,7.1,56+,Low,7096.83
LN02126,CUST07857,BR044,Home,2025-01-26,114329.47,13.63,120,561,Defaulted,1,Heidi Torres,29.0,Female,58434.83,East Carlshire,East Donna Branch,Williamview,Illinois,Urban,2021-09-19,1.96,26-35,Mid,952.75
LN04506,CUST04992,BR015,Vehicle,2026-05-22,226270.1,10.77,12,664,Rejected,0,Nicholas Obrien II,34.0,Female,54247.48,Crystalberg,Port Jesseville Branch,North Deniseside,Texas,Urban,2021-03-15,4.17,26-35,Mid,18855.84
LN03236,CUST08418,BR009,Personal,2025-11-30,422754.83,14.26,12,518,Rejected,0,David Dunlap,66.0,Male,49679.42,Ballardtown,North Noahstad Branch,Shieldston,MI,Rural,2023-06-27,8.51,56+,Mid,35229.57
LN05409,CUST01191,BR038,Personal,2025-01-25,176052.12,7.76,36,316,Defaulted,1,Ryan Vaughn,68.0,Female,47551.2,Ambermouth,East Nathaniel Branch,East Mikeburgh,Vermont,Urban,2021-10-18,3.7,56+,Mid,4890.34
LN03245,CUST03237,BR030,Personal,2026-03-22,70807.47,16.46,24,425,Active,0,Kathy Bailey,19.0,Male,10948.65,Leetown,East Courtneychester Branch,South Dianeshire,West Virginia,Semi-Urban,2025-07-13,6.47,18-25,Low,2950.31
LN00784,CUST05240,BR027,Vehicle,2024-09-26,116456.13,16.09,60,662,Active,0,Cristian Lambert,32.0,Female,51908.78,Ortegashire,Juliechester Branch,Port Jacobland,Nebraska,Rural,2017-06-10,2.24,26-35,Mid,1940.94
LN03985,CUST08575,BR038,Personal,2025-10-24,343679.19,9.76,36,317,Defaulted,1,Elizabeth Anderson,40.0,Female,44862.16,South James,East Nathaniel Branch,East Mikeburgh,Vermont,Urban,2021-10-18,7.66,36-45,Mid,9546.64
LN01726,CUST05895,BR040,Personal,2026-04-17,255834.46,17.97,24,867,Defaulted,1,Lacey Morrow,56.0,Male,89868.83,East Christophertown,New Mariotown Branch,Lake Lisaport,Missouri,Rural,2021-12-12,2.85,56+,High,10659.77
LN01287,CUST08007,BR012,Education,2025-01-07,280846.25,11.58,36,438,Approved,0,Daniel Phillips,41.0,Female,42836.93,Krausetown,New Kellystad Branch,Taylorburgh,Indiana,Urban,2018-08-25,6.56,36-45,Mid,7801.28
LN05793,CUST06637,BR049,Home,2025-02-19,269901.24,16.25,60,837,Defaulted,1,Joshua Reed,40.0,Male,86291.0,South Sallymouth,Martinezbury Branch,Lake Rebeccaside,Iowa,Semi-Urban,2019-08-25,3.13,36-45,High,4498.35
LN05419,CUST09654,BR031,Education,2024-10-23,115481.7,14.46,24,330,Active,0,Daniel Bruce,20.0,Female,45082.49,Allenborough,South Patrickmouth Branch,Sarahborough,Michigan,Rural,2020-01-15,2.56,18-25,Mid,4811.74
LN00038,CUST03890,BR012,Personal,2024-09-13,499319.6,11.38,120,731,Active,0,Traci Martinez,36.0,Male,65496.59,Melaniebury,New Kellystad Branch,Taylorburgh,Indiana,Urban,2018-08-25,7.62,36-45,High,4161.0
LN03630,CUST06426,BR026,Vehicle,2026-03-06,381344.68,12.46,120,884,Rejected,0,Roger Johnson,30.0,Male,51911.43,East Donald,West Donald Branch,North Susan,Idaho,Urban,2021-01-07,7.35,26-35,Mid,3177.87
LN04846,CUST01404,BR010,Education,2026-05-01,126407.26,13.78,60,733,Active,0,Christopher Perez,46.0,Male,55349.68,Murrayville,Cassandraton Branch,North Richardmouth,Arizona,Rural,2022-04-27,2.28,46-55,Mid,2106.79
LN00480,CUST03267,BR032,Home,2025-11-19,400647.39,6.5,60,375,Approved,0,Austin Patterson,68.0,Female,47763.24,Brianview,Tashatown Branch,Johnfurt,Nebraska,Semi-Urban,2022-11-19,8.39,56+,Mid,6677.46
LN00448,CUST08527,BR025,Home,2025-12-13,213388.28,17.26,36,573,Rejected,0,Daniel Price,43.0,Male,65044.98,New Vincent,Wilkersonmouth Branch,Shawhaven,Hawaii,Urban,2019-12-03,3.28,36-45,High,5927.45
LN01299,CUST03561,BR014,Education,2025-04-15,218931.05,14.19,24,526,Closed,0,Julie Wilson,35.0,Female,66813.21,Port Sallyside,Port Keith Branch,Mortonside,Kansas,Semi-Urban,2019-09-22,3.28,26-35,High,9122.13
LN02952,CUST05668,BR049,Personal,2025-06-02,174291.28,13.31,36,633,Defaulted,1,Mitchell Jimenez,56.0,Female,71232.1,West Laurafort,Martinezbury Branch,Lake Rebeccaside,Iowa,Semi-Urban,2019-08-25,2.45,56+,High,4841.42
LN05144,CUST09290,BR004,Home,2025-05-02,127935.61,6.13,12,634,Active,0,Edward Cummings,48.0,Male,48314.61,Jordanside,Lake Debra Branch,West Elizabeth,Georgia,Urban,2021-06-05,2.65,46-55,Mid,10661.3
LN00188,CUST01707,BR016,Personal,2025-11-11,471023.14,7.95,24,577,Defaulted,1,Cynthia Bates,22.0,Female,53488.79,North Patrickchester,Ramirezstad Branch,North Sarabury,Connecticut,Semi-Urban,2017-05-03,8.81,18-25,Mid,19625.96
LN03557,CUST08712,BR038,Personal,2025-10-30,67661.49,7.85,24,858,Rejected,0,John Lin,26.0,Male,55334.33,South Theresa,East Nathaniel Branch,East Mikeburgh,Vermont,Urban,2021-10-18,1.22,26-35,Mid,2819.23
LN02851,CUST03868,BR039,Vehicle,2025-05-10,201352.69,11.26,60,539,Active,0,Karen Goodman,34.0,Male,28636.54,Cameronborough,New Stephanie Branch,Bassport,Connecticut,Rural,2025-04-25,7.03,26-35,Low,3355.88
LN01859,CUST00011,BR006,Home,2024-11-23,312189.04,13.75,60,819,Rejected,0,Jamie Arnold,28.0,Male,52797.62,Lake Matthewville,Lisatown Branch,Sanchezfort,Florida,Rural,2021-06-08,5.91,26-35,Mid,5203.15
LN04906,CUST00129,BR021,Education,2026-07-20,-481026.83,15.13,24,371,Defaulted,1,Megan Orr,58.0,Male,52800.15,Kennethport,Lake Mark Branch,Rodneyside,South Carolina,Urban,2024-02-10,-9.11,56+,Mid,-20042.78
LN01983,CUST08258,BR015,Home,2026-03-15,195295.86,16.76,12,664,Rejected,0,Eric Camacho,50.0,Male,56162.69,Timothytown,Port Jesseville Branch,North Deniseside,Texas,Urban,2021-03-15,3.48,46-55,Mid,16274.66
LN03458,CUST00628,BR007,Vehicle,2025-10-04,240246.05,15.5,36,467,Closed,0,Joseph Wilson,48.0,Female,72366.52,Lake Peter,Lake Roberto Branch,Leeville,Arizona,Semi-Urban,2022-08-29,3.32,46-55,High,6673.5
LN02477,CUST03670,BR029,Education,2026-06-18,352695.64,16.87,120,621,Rejected,0,Daniel Mercer,69.0,Female,49621.35,Collinstown,Daviston Branch,New Brooke,Idaho,Rural,2016-09-18,7.11,56+,Mid,2939.13
LN04561,CUST09517,BR036,Education,2026-01-28,79008.38,16.52,60,684,Approved,0,George Oconnor,35.0,Female,40760.44,Port Michaelchester,Teresaburgh Branch,North Amandahaven,LO,Rural,2022-01-10,1.94,26-35,Mid,1316.81
LN05557,CUST09973,BR025,Education,2025-11-26,487896.77,13.17,36,690,Rejected,0,Ms. Lori Watson,25.0,Female,48256.1,Andrewport,Wilkersonmouth Branch,Shawhaven,Hawaii,Urban,2019-12-03,10.11,18-25,Mid,13552.69
LN04513,CUST09114,BR028,Personal,2024-12-21,221461.6,8.52,120,502,Defaulted,1,Christina Fletcher,29.0,Female,31932.38,,Coxberg Branch,South David,AL,Rural,2024-02-08,6.94,26-35,Mid,1845.51
LN03249,CUST09388,BR022,Vehicle,2025-06-30,198326.12,6.83,36,710,Defaulted,1,Gary Morgan,47.0,Female,52799.6,Garrisonfurt,East Lydiamouth Branch,Mooreport,West Virginia,Semi-Urban,2025-05-21,3.76,46-55,Mid,5509.06
LN04157,CUST06039,BR002,Vehicle,2025-06-30,58486.63,10.26,60,412,Active,0,Shane Smith,66.0,Female,56178.38,South Johnstad,New Roberttown Branch,Lake Crystalbury,Pennsylvania,Rural,2023-06-19,1.04,56+,Mid,974.78
LN00714,CUST06996,BR035,Vehicle,2026-06-28,255242.5,8.5,60,566,Rejected,0,Jacob Mcdonald,66.0,Male,50939.73,Lake Lisahaven,South Aaron Branch,South Christineshire,Kansas,Rural,2022-04-21,5.01,56+,Mid,4254.04
LN00754,CUST07350,BR043,Personal,2025-09-04,360196.85,13.07,12,770,Defaulted,1,James Pena,71.0,Female,32486.2,New Mirandatown,North Jessicaland Branch,Lake Matthew,Iowa,Urban,2023-07-14,11.09,56+,Mid,30016.4
LN02770,CUST02261,BR019,Education,2025-04-03,319069.95,16.34,120,382,Rejected,0,Robert Peterson,50.0,Female,45343.72,Port Susanstad,New Jessica Branch,East Nicholasfurt,Oklahoma,Semi-Urban,2022-07-27,7.04,46-55,Mid,2658.92
LN01756,CUST04293,BR026,Home,2026-05-11,384387.24,14.81,60,883,Active,0,Jacob Brewer,54.0,Female,19622.19,Phillipsfurt,West Donald Branch,North Susan,Idaho,Urban,2021-01-07,19.59,46-55,Low,6406.45
LN05577,CUST02933,BR029,Home,2026-04-09,287634.84,13.65,60,760,Active,0,Vanessa Martinez,74.0,Male,81428.99,Haileyfurt,Daviston Branch,New Brooke,Idaho,Rural,2016-09-18,3.53,56+,High,4793.91
LN03081,CUST09501,BR011,Home,2024-10-17,457962.31,15.08,24,726,Approved,0,Vanessa Maddox,62.0,Female,49925.99,Lake Joanton,Herrerafurt Branch,East Jamesside,Minnesota,Rural,2017-02-26,9.17,56+,Mid,19081.76
LN00362,CUST05919,BR003,Home,2025-04-12,298743.16,11.75,12,604,Rejected,0,Amy Baker,54.0,Female,39745.09,Carolinefort,East Jessetown Branch,North Micheleland,Oklahoma,Rural,2022-04-09,7.52,46-55,Mid,24895.26
LN03584,CUST03489,BR047,Education,2025-02-12,384166.14,14.66,120,751,Active,0,Michael Robertson,23.0,Male,73206.33,North Larryshire,Lake Larry Branch,Evanmouth,MA,Urban,2023-11-03,5.25,18-25,High,3201.38
LN04116,CUST04988,BR027,Vehicle,2024-10-19,219793.23,7.26,24,546,Defaulted,1,Sherry Shannon,47.0,Female,54204.22,Joshuafurt,Juliechester Branch,Port Jacobland,Nebraska,Rural,2017-06-10,4.05,46-55,Mid,9158.05
LN04565,CUST02672,BR033,Personal,2025-09-24,338796.11,17.07,36,466,Defaulted,1,Veronica Flores,60.0,Female,65183.39,Thomastown,Lake Nicoleview Branch,Lake Debbie,Texas,Semi-Urban,2024-01-09,5.2,56+,High,9411.0
LN02968,CUST03236,BR006,Personal,2026-06-15,497429.31,16.33,36,322,Closed,0,William Howard,57.0,Female,46399.46,Jeremyton,Lisatown Branch,Sanchezfort,Florida,Rural,2021-06-08,10.72,56+,Mid,13817.48
LN03998,CUST06476,BR044,Education,2026-08-15,422868.31,8.33,120,824,Approved,0,Mark Hughes,48.0,Male,49823.69,Jillfort,East Donna Branch,Williamview,Illinois,Urban,2021-09-19,8.49,46-55,Mid,3523.9
LN03521,CUST00824,BR008,Vehicle,2024-12-08,352474.55,12.18,120,692,Approved,0,Aaron Schroeder,71.0,Male,37279.54,Lake Stephanieview,Ericmouth Branch,Gomezchester,Maryland,Rural,2025-05-09,9.45,56+,Mid,2937.29
LN02328,CUST08505,BR032,Vehicle,2025-12-11,379160.18,17.43,36,340,Rejected,0,Carol Baker,36.0,Female,26182.51,Lake Samanthachester,Tashatown Branch,Johnfurt,Nebraska,Semi-Urban,2022-11-19,14.48,36-45,Low,10532.23
LN04393,CUST04620,BR045,Home,2024-11-28,493784.62,15.57,60,557,Active,0,Jonathan Cisneros,61.0,Male,38581.03,Lake Joseph,West Allison Branch,North Cynthiaview,New Jersey,Rural,2018-11-07,12.8,56+,Mid,8229.74
LN01400,CUST07490,BR049,Home,2026-02-28,340923.77,17.21,24,507,Defaulted,1,Ashley Bell,55.0,Male,31693.01,Port Sean,Martinezbury Branch,Lake Rebeccaside,Iowa,Semi-Urban,2019-08-25,10.76,46-55,Mid,14205.16
LN00629,CUST00667,BR020,Education,2024-11-30,390308.31,14.06,12,521,Active,0,Tammy Boone,35.0,Female,26787.43,Port Stevenhaven,South Noah Branch,Saramouth,Nebraska,Urban,2022-01-09,14.57,26-35,Low,32525.69
LN01117,CUST02143,BR000,Personal,2025-02-19,336549.04,12.04,60,436,Closed,0,Melissa Reeves,39.0,Female,48670.28,Nicoleside,North Judithbury Branch,West Andrewside,Arizona,Rural,2017-02-02,6.91,36-45,Mid,5609.15
LN03517,CUST08445,BR012,Home,2026-02-28,358226.95,15.4,36,775,Active,0,Deborah Alvarado,69.0,Male,23502.78,North Daniel,New Kellystad Branch,Taylorburgh,Indiana,Urban,2018-08-25,15.24,56+,Low,9950.75
LN05067,CUST07604,BR011,Vehicle,2025-06-20,361593.06,15.15,24,460,Closed,0,Alex Johnson,31.0,Female,43753.72,South Edward,Herrerafurt Branch,East Jamesside,Minnesota,Rural,2017-02-26,8.26,26-35,Mid,15066.38
LN00875,CUST09333,BR048,Vehicle,2025-05-26,385094.27,7.56,60,527,Defaulted,1,Faith Ritter,71.0,Female,49592.88,North Jennifer,Samuelhaven Branch,Hoffmanville,Iowa,Semi-Urban,2023-02-19,7.77,56+,Mid,6418.24
LN04141,CUST03839,BR018,Education,2025-01-30,76751.61,13.15,12,363,Defaulted,1,Nicole Stewart,52.0,Female,70668.82,Chavezmouth,Jacquelineland Branch,Port Richard,Wyoming,Semi-Urban,2024-01-30,1.09,46-55,High,6395.97
LN00387,CUST07079,BR008,Vehicle,2025-09-16,480318.85,13.96,24,318,Rejected,0,Jessica Fisher,35.0,Female,48548.78,New Laurentown,Ericmouth Branch,Gomezchester,Maryland,Rural,2025-05-09,9.89,26-35,Mid,20013.29
LN04259,CUST04589,BR034,Education,2025-04-29,163904.32,17.07,24,310,Rejected,0,Christopher Lee,35.0,Female,56927.69,Nicholasfurt,Danielchester Branch,Stewartland,West Virginia,Rural,2017-11-16,2.88,26-35,Mid,6829.35
LN05162,CUST00272,BR006,Home,2024-09-12,298337.48,9.14,24,840,Defaulted,1,Jonathan Lawrence,69.0,Male,53107.4,New Cody,Lisatown Branch,Sanchezfort,Florida,Rural,2021-06-08,5.62,56+,Mid,12430.73
LN00775,CUST06981,BR011,Education,2026-06-05,272407.68,15.92,24,879,Closed,0,David Warner,38.0,Female,40449.59,New Pamela,Herrerafurt Branch,East Jamesside,Minnesota,Rural,2017-02-26,6.73,36-45,Mid,11350.32
LN05677,CUST01340,BR018,Education,2025-11-01,222326.55,12.18,120,813,Rejected,0,Theresa Wilkins,64.0,Male,26420.28,Crawfordshire,Jacquelineland Branch,Port Richard,Wyoming,Semi-Urban,2024-01-30,8.41,56+,Low,1852.72
LN02805,CUST04648,BR001,Education,2025-04-09,277831.19,6.83,12,660,Active,0,Patricia Adkins,40.0,Male,51485.82,Markfurt,East Jill Branch,New Jeffrey,Mississippi,Urban,2019-12-22,5.4,36-45,Mid,23152.6
LN02120,CUST09011,BR032,Education,2026-04-23,330364.28,12.18,60,686,Defaulted,1,Courtney Williams,29.0,Male,60142.99,Robertstad,Tashatown Branch,Johnfurt,Nebraska,Semi-Urban,2022-11-19,5.49,26-35,High,5506.07
LN03749,CUST07304,BR016,Home,2025-05-15,342885.81,12.18,12,777,Rejected,0,Clayton Jennings,62.0,Male,44319.53,Navarrotown,Ramirezstad Branch,North Sarabury,Connecticut,Semi-Urban,2017-05-03,7.74,56+,Mid,28573.82
LN03418,CUST07594,BR001,Education,2024-10-06,19895.51,12.94,120,865,Approved,0,Nathan Brown,52.0,Female,39107.76,Kimberlyton,East Jill Branch,New Jeffrey,Mississippi,Urban,2019-12-22,0.51,46-55,Mid,165.8
LN00497,CUST01571,BR008,Education,2025-08-14,181007.52,16.46,24,477,Defaulted,1,Brandy Forbes,48.0,Female,75551.01,Campbellfurt,Ericmouth Branch,Gomezchester,Maryland,Rural,2025-05-09,2.4,46-55,High,7541.98
LN01282,CUST00390,BR030,Education,2025-01-07,302153.23,11.27,12,860,Approved,0,Thomas Atkins,44.0,Female,57524.16,Javierbury,East Courtneychester Branch,South Dianeshire,West Virginia,Semi-Urban,2025-07-13,5.25,36-45,Mid,25179.44
LN01927,CUST06674,BR042,Vehicle,2025-03-21,180043.73,13.16,36,809,Rejected,0,Kevin Grant,64.0,Female,31712.74,Lake Monicashire,North John Branch,West Juan,New Mexico,Rural,2022-03-27,5.68,56+,Mid,5001.21
LN01496,CUST04811,BR011,Education,2026-05-01,110948.53,12.18,120,839,Defaulted,1,Darren Morris,33.0,Female,28270.59,East Elizabethshire,Herrerafurt Branch,East Jamesside,Minnesota,Rural,2017-02-26,3.92,26-35,Low,924.57
LN03770,CUST08264,BR041,Education,2025-11-13,406207.22,16.06,36,451,Active,0,Taylor Parsons,52.0,Male,63098.56,Port Gregoryland,West Natashaport Branch,East Josephville,Arizona,Rural,2023-08-20,6.44,46-55,High,11283.53
LN01820,CUST07114,BR027,Vehicle,2025-12-25,379916.55,8.65,60,619,Defaulted,1,Mrs. Miranda Johnston,22.0,Female,48240.11,Humphreyberg,Juliechester Branch,Port Jacobland,Nebraska,Rural,2017-06-10,7.88,18-25,Mid,6331.94
LN00476,CUST00417,BR039,Home,2024-11-03,333105.55,6.19,60,506,Rejected,0,Carrie Wright,46.0,Male,67345.35,Markfort,New Stephanie Branch,Bassport,Connecticut,Rural,2025-04-25,4.95,46-55,High,5551.76
LN03675,CUST04821,BR035,Personal,2025-02-27,316493.45,11.2,36,445,Closed,0,Justin Moreno,49.0,Male,59570.66,Zacharyton,South Aaron Branch,South Christineshire,Kansas,Rural,2022-04-21,5.31,46-55,Mid,8791.48
LN03587,CUST02120,BR001,Education,2025-01-02,454995.43,10.9,12,700,Defaulted,1,Christopher Black,40.0,Female,64177.89,Goodmanbury,East Jill Branch,New Jeffrey,Mississippi,Urban,2019-12-22,7.09,36-45,High,37916.29
LN03635,CUST08850,BR007,Home,2026-08-03,402077.54,12.13,24,351,Closed,0,Brett Obrien,51.0,Male,66126.66,Warrenfort,Lake Roberto Branch,Leeville,Arizona,Semi-Urban,2022-08-29,6.08,46-55,High,16753.23
LN03431,CUST03326,BR010,Vehicle,2026-05-13,241165.9,12.91,12,485,Active,0,Nancy Brown,46.0,Female,64960.78,North Joshuamouth,Cassandraton Branch,North Richardmouth,Arizona,Rural,2022-04-27,3.71,46-55,High,20097.16
LN04671,CUST04670,BR038,Home,2024-11-20,136723.2,7.38,12,808,Defaulted,1,Stephen White,64.0,Female,60188.11,West Seanmouth,East Nathaniel Branch,East Mikeburgh,Vermont,Urban,2021-10-18,2.27,56+,High,11393.6
LN05653,CUST04267,BR013,Home,2025-12-13,262710.69,8.25,24,456,Rejected,0,Krista Williams,67.0,Male,58021.02,New Linda,Lake Chad Branch,Stevenland,UT,Rural,2021-02-17,4.53,56+,Mid,10946.28
LN01924,CUST01316,BR045,Home,2024-12-29,280940.97,11.04,36,401,Closed,0,Robert Clarke,69.0,Female,47819.9,South Markland,West Allison Branch,North Cynthiaview,New Jersey,Rural,2018-11-07,5.87,56+,Mid,7803.92
LN03922,CUST07751,BR024,Personal,2026-04-23,338655.61,16.16,36,533,Active,0,Susan Barnes,25.0,Male,29506.86,Simmonsfurt,Jasonfort Branch,Lake Leeton,Kansas,Urban,2023-03-29,11.48,18-25,Low,9407.1
LN01948,CUST09160,BR032,Home,2025-07-31,24592.59,17.74,60,751,Defaulted,1,Michael Morris,57.0,Male,57193.49,Lake Tammy,Tashatown Branch,Johnfurt,Nebraska,Semi-Urban,2022-11-19,0.43,56+,Mid,409.88
LN04943,CUST02537,BR031,Vehicle,2025-11-06,266716.72,6.46,12,838,Defaulted,1,Phillip Byrd,49.0,Male,22641.87,South Arthurmouth,South Patrickmouth Branch,Sarahborough,Michigan,Rural,2020-01-15,11.78,46-55,Low,22226.39
LN01079,CUST02079,BR036,Home,2025-10-18,379716.42,9.93,36,470,Rejected,0,Ronald Marshall,47.0,Female,51212.09,Rebeccaberg,Teresaburgh Branch,North Amandahaven,LO,Rural,2022-01-10,7.41,46-55,Mid,10547.68
LN03792,CUST03901,BR029,Home,2025-03-02,378944.81,10.33,24,655,Closed,0,Brett Martin,40.0,Male,39628.08,East Davidside,Daviston Branch,New Brooke,Idaho,Rural,2016-09-18,9.56,36-45,Mid,15789.37
LN04136,CUST00919,BR019,Home,2025-03-04,17868.82,12.18,12,359,Closed,0,Samantha Terry,36.0,Female,38181.19,South Pamelaburgh,New Jessica Branch,East Nicholasfurt,Oklahoma,Semi-Urban,2022-07-27,0.47,36-45,Mid,1489.07
LN01685,CUST04732,BR014,Home,2024-11-29,466632.32,16.75,60,746,Defaulted,1,Laurie Fuller,45.0,Male,32256.62,North Christinaburgh,Port Keith Branch,Mortonside,Kansas,Semi-Urban,2019-09-22,14.47,36-45,Mid,7777.21
LN04997,CUST05573,BR033,Education,2025-05-06,294762.48,10.28,60,489,Approved,0,Jacqueline Hall,68.0,Female,18843.07,South Jose,Lake Nicoleview Branch,Lake Debbie,Texas,Semi-Urban,2024-01-09,15.64,56+,Low,4912.71
LN00674,CUST08702,BR011,Education,2024-12-01,303596.06,17.49,60,630,Rejected,0,Karen Macias,62.0,Male,54556.28,Port Jefffort,Herrerafurt Branch,East Jamesside,Minnesota,Rural,2017-02-26,5.56,56+,Mid,5059.93
LN00374,CUST02491,BR036,Personal,2024-10-17,160589.34,14.71,120,392,Active,0,Jason Jennings,72.0,Female,57039.02,North Thomas,Teresaburgh Branch,North Amandahaven,LO,Rural,2022-01-10,2.82,56+,Mid,1338.24
LN04956,CUST01015,BR030,Education,2024-10-08,257430.85,12.21,24,503,Rejected,0,Lori Flowers MD,71.0,Female,87925.7,Jakeview,East Courtneychester Branch,South Dianeshire,West Virginia,Semi-Urban,2025-07-13,2.93,56+,High,10726.29
LN03892,CUST01700,BR009,Education,2025-07-26,52389.54,11.79,60,461,Rejected,0,Bethany Garcia,71.0,Female,62622.81,Whiteberg,North Noahstad Branch,Shieldston,MI,Rural,2023-06-27,0.84,56+,High,873.16
LN03955,CUST03645,BR046,Home,2025-07-25,399367.13,12.88,24,505,Closed,0,Judy Jones,39.0,Female,49783.86,West Heather,Brandtside Branch,North Matthewberg,Minnesota,Semi-Urban,2019-12-14,8.02,36-45,Mid,16640.3
LN00137,CUST01678,BR009,Personal,2026-08-18,350194.63,13.69,120,479,Approved,0,Donald Flores,38.0,Female,49823.69,East Kimberly,North Noahstad Branch,Shieldston,MI,Rural,2023-06-27,7.03,36-45,Mid,2918.29
LN05782,CUST02809,BR023,Education,2025-10-14,339168.64,8.77,120,832,Active,0,Christina Mccarthy,56.0,Female,53435.58,Codyland,Adamsborough Branch,North Beth,Georgia,Semi-Urban,2018-08-27,6.35,56+,Mid,2826.41
LN01091,CUST05232,BR043,Personal,2026-03-29,69821.86,6.93,12,490,Closed,0,Joel Perez,42.0,Female,38088.2,Port Wanda,North Jessicaland Branch,Lake Matthew,Iowa,Urban,2023-07-14,1.83,36-45,Mid,5818.49
LN00908,CUST00235,BR032,Vehicle,2025-11-29,330103.07,8.65,120,370,Approved,0,Kathryn Snyder,69.0,Female,46066.66,North Donnaside,Tashatown Branch,Johnfurt,Nebraska,Semi-Urban,2022-11-19,7.17,56+,Mid,2750.86
LN01382,CUST00726,BR043,Education,2025-01-26,347687.04,11.34,60,883,Closed,0,Christian Dawson,22.0,Male,33123.48,Smithville,North Jessicaland Branch,Lake Matthew,Iowa,Urban,2023-07-14,10.5,18-25,Mid,5794.78
LN04312,CUST04920,BR023,Home,2024-12-25,25385.82,12.18,36,733,Approved,0,Richard Parsons,31.0,Male,49823.69,West Robertmouth,Adamsborough Branch,North Beth,Georgia,Semi-Urban,2018-08-27,0.51,26-35,Mid,705.16
LN05360,CUST00813,BR013,Home,2025-04-09,426858.04,7.18,12,594,Rejected,0,Michael Roberts,37.0,Male,49823.69,Nguyenside,Lake Chad Branch,Stevenland,UT,Rural,2021-02-17,8.57,36-45,Mid,35571.5
