account_id,customer_id,branch_id,account_type,account_open_date,initial_balance,account_status,customer_name,age,gender,annual_income,customer_city,branch_name,branch_city,state,branch_type,opening_date
ACC08873,CUST09380,BR043,Current,2026-01-29,1463.27,Dormant,Sandra Kim,38.0,Female,60280.72,Grossland,North Jessicaland Branch,Lake Matthew,Iowa,Urban,2023-07-14
ACC07817,CUST02107,BR019,Savings,2026-05-30,92298.82,Dormant,Dawn Davis,52.0,Male,34433.71,Port Ashleyburgh,New Jessica Branch,East Nicholasfurt,Oklahoma,Semi-Urban,2022-07-27
ACC00507,CUST03603,BR016,Current,2025-07-17,47866.24,Dormant,Michael Singleton,74.0,Female,42809.34,South Katelyn,Ramirezstad Branch,North Sarabury,Connecticut,Semi-Urban,2017-05-03
ACC02226,CUST01095,BR008,Current,2025-06-08,69046.85,Dormant,James Chapman,35.0,Female,62633.8,Millerton,Ericmouth Branch,Gomezchester,Maryland,Rural,2025-05-09
ACC02398,CUST99999,BR045,Savings,2024-11-16,44006.82,Closed,,,,,,West Allison Branch,North Cynthiaview,New Jersey,Rural,2018-11-07
ACC03094,CUST02786,BR048,Savings,2024-05-18,21871.61,Dormant,Henry Garcia,39.0,Female,59963.88,South Victoriashire,Samuelhaven Branch,Hoffmanville,Iowa,Semi-Urban,2023-02-19
ACC09143,CUST04333,BR034,Current,2026-08-16,88038.37,Closed,Kelly Weiss,61.0,Male,49307.72,Mitchellside,Danielchester Branch,Stewartland,West Virginia,Rural,2017-11-16
ACC11825,CUST07769,BR006,Salary,2025-03-08,25907.61,Active,Morgan Barrett,70.0,Male,39812.18,Lopezbury,Lisatown Branch,Sanchezfort,Florida,Rural,2021-06-08
ACC06641,CUST00426,BR013,Current,2025-10-27,44156.86,Closed,Jenna Larson,49.0,Male,52516.6,Lake Kristinfurt,Lake Chad Branch,Stevenland,UT,Rural,2021-02-17
ACC05181,CUST00794,BR038,Current,2024-08-24,89090.57,Dormant,Jerry Brown,73.0,Female,48982.15,Catherinetown,East Nathaniel Branch,East Mikeburgh,Vermont,Urban,2021-10-18
ACC08886,CUST09991,BR022,Current,2025-01-18,55359.49,Dormant,Willie Munoz,71.0,Female,56020.51,East Alexander,East Lydiamouth Branch,Mooreport,West Virginia,Semi-Urban,2025-05-21
ACC02123,CUST06465,BR043,Savings,2026-05-29,51583.52,Active,Kelsey Smith,65.0,Male,35810.16,Johnsonchester,North Jessicaland Branch,Lake Matthew,Iowa,Urban,2023-07-14
ACC02540,CUST02886,BR003,Salary,2024-04-23,44991.77,Dormant,Allison Simmons,33.0,Female,34903.5,Shermanfort,East Jessetown Branch,North Micheleland,Oklahoma,Rural,2022-04-09
ACC01397,CUST03904,BR014,Savings,2026-06-22,73560.18,Dormant,Shannon Ramirez,74.0,Male,24860.4,Lake Luketown,Port Keith Branch,Mortonside,Kansas,Semi-Urban,2019-09-22
ACC02741,CUST00826,BR018,Savings,2026-07-20,-74793.18,Closed,Heather Brown,20.0,Female,47343.86,Greenborough,Jacquelineland Branch,Port Richard,Wyoming,Semi-Urban,2024-01-30
ACC05632,CUST09508,BR023,Salary,2024-05-30,50450.88,Dormant,Colleen Murray,21.0,Male,64803.51,Goodmanhaven,Adamsborough Branch,North Beth,Georgia,Semi-Urban,2018-08-27
ACC08536,CUST00748,BR035,Salary,2025-09-17,64039.36,Dormant,Jenna Wilson,19.0,Female,25471.09,Quinnville,South Aaron Branch,South Christineshire,Kansas,Rural,2022-04-21
ACC07969,CUST03667,BR006,Savings,2024-05-22,80266.6,Closed,Michael Chambers,38.0,Female,44348.98,New Larry,Lisatown Branch,Sanchezfort,Florida,Rural,2021-06-08
ACC05703,CUST09199,BR011,Savings,2024-11-22,7095.22,Dormant,Jade Rogers,59.0,Male,26436.3,Julieland,Herrerafurt Branch,East Jamesside,Minnesota,Rural,2017-02-26
ACC07280,CUST08607,BR000,Salary,2024-11-11,30832.1,Dormant,Hannah Butler,51.0,Female,41863.8,North Josephborough,North Judithbury Branch,West Andrewside,Arizona,Rural,2017-02-02
ACC05176,CUST08583,BR042,Salary,2023-09-29,8430.14,Closed,Frederick Finley,50.0,Female,68655.21,Lake Whitney,North John Branch,West Juan,New Mexico,Rural,2022-03-27
ACC06939,CUST06467,BR000,Current,2024-12-25,16364.69,Dormant,Shelia Cruz,34.0,Male,52389.23,Knightfurt,North Judithbury Branch,West Andrewside,Arizona,Rural,2017-02-02
ACC04187,CUST04319,BR035,Savings,2026-01-29,66303.59,Active,Michael Preston,70.0,Female,77972.73,East Jose,South Aaron Branch,South Christineshire,Kansas,Rural,2022-04-21
ACC02634,CUST09124,BR006,Current,2026-07-22,69219.04,Dormant,Erin Long,28.0,Male,35199.89,Riverafort,Lisatown Branch,Sanchezfort,Florida,Rural,2021-06-08
ACC04920,CUST03678,BR009,Current,2024-10-19,80512.03,Closed,Christopher Waters,66.0,Male,65826.62,Port Wendy,North Noahstad Branch,Shieldston,MI,Rural,2023-06-27
ACC11588,CUST04479,BR039,Savings,2025-01-17,61787.42,Closed,Crystal Davis,20.0,Female,61667.79,Williamsonbury,New Stephanie Branch,Bassport,Connecticut,Rural,2025-04-25
ACC08430,CUST04018,BR007,Current,2026-07-26,11224.93,Closed,Shannon Sosa,20.0,Male,52977.62,Foxchester,Lake Roberto Branch,Leeville,Arizona,Semi-Urban,2022-08-29
ACC00988,CUST99999,BR026,Current,2026-07-02,32581.01,Closed,,,,,,West Donald Branch,North Susan,Idaho,Urban,2021-01-07
ACC03053,CUST02966,BR025,Salary,2025-04-20,31379.1,Dormant,Candice Ramirez,23.0,Female,60708.38,Lake Amandafort,Wilkersonmouth Branch,Shawhaven,Hawaii,Urban,2019-12-03
ACC02946,CUST00438,BR042,Savings,2026-01-29,43931.09,Active,Rhonda Martin,41.0,Male,41949.21,Joshuashire,North John Branch,West Juan,New Mexico,Rural,2022-03-27
ACC02297,CUST02016,BR005,Savings,2025-10-21,51515.11,Closed,Charles Morales,57.0,Female,67899.59,Lake Amyfort,Robinsonshire Branch,New David,Nevada,Urban,2017-11-13
ACC09518,CUST01031,BR046,Salary,2024-08-22,37809.9,Active,Annette Melton,36.0,Female,39900.27,Richardside,Brandtside Branch,North Matthewberg,Minnesota,Semi-Urban,2019-12-14
ACC04618,CUST09840,BR028,Current,2023-11-02,53370.08,Active,Ronald Schwartz,41.0,Male,71463.18,East Zacharyland,Coxberg Branch,South David,AL,Rural,2024-02-08
ACC08657,CUST03325,BR030,Current,2025-09-06,56816.64,Active,Jessica Patterson,40.0,Female,52211.87,South Lindsay,East Courtneychester Branch,South Dianeshire,West Virginia,Semi-Urban,2025-07-13
ACC00213,CUST06432,BR018,Salary,2026-06-14,59253.89,Active,Beth Ellis,62.0,Female,78516.86,West Gregory,Jacquelineland Branch,Port Richard,Wyoming,Semi-Urban,2024-01-30
ACC10418,CUST01174,BR004,Current,2024-02-23,49146.82,Dormant,Kyle Andrade,45.0,Male,75876.16,Lake Shannonview,Lake Debra Branch,West Elizabeth,Georgia,Urban,2021-06-05
ACC09184,CUST07544,BR004,Current,2024-10-18,74508.55,Active,Aaron Johnson,69.0,Female,57351.43,Jimmyfort,Lake Debra Branch,West Elizabeth,Georgia,Urban,2021-06-05
ACC04005,CUST08583,BR023,Salary,2024-06-05,37012.23,Dormant,Frederick Finley,50.0,Female,68655.21,Lake Whitney,Adamsborough Branch,North Beth,Georgia,Semi-Urban,2018-08-27
ACC09125,CUST08154,BR026,Current,2025-01-12,26350.1,Active,Rebecca Tapia,36.0,Female,34718.78,Pettymouth,West Donald Branch,North Susan,Idaho,Urban,2021-01-07
ACC09713,CUST03309,BR006,Current,2026-04-01,87477.79,Dormant,Amy Mccullough,67.0,Male,26575.34,New Jenniferland,Lisatown Branch,Sanchezfort,Florida,Rural,2021-06-08
ACC02396,CUST00530,BR041,Savings,2025-08-08,73100.0,Closed,Marilyn Wang,70.0,Female,56415.05,South Deborah,West Natashaport Branch,East Josephville,Arizona,Rural,2023-08-20
ACC10435,CUST07509,BR047,Savings,2024-01-19,60116.49,Closed,Michelle Rivera,21.0,Male,55132.31,Burnettmouth,Lake Larry Branch,Evanmouth,MA,Urban,2023-11-03
ACC04003,CUST09969,BR048,Current,2024-12-16,59141.42,Dormant,Justin Swanson,71.0,Female,65365.78,Greenfurt,Samuelhaven Branch,Hoffmanville,Iowa,Semi-Urban,2023-02-19
ACC01108,CUST03060,BR033,Current,2025-08-25,15823.29,Closed,Michael Brooks,21.0,Female,41640.9,Port Laurenview,Lake Nicoleview Branch,Lake Debbie,Texas,Semi-Urban,2024-01-09
ACC09823,CUST00940,BR046,Current,2024-09-24,18375.9,Closed,Lydia Pham,51.0,Female,58889.06,Lake Walter,Brandtside Branch,North Matthewberg,Minnesota,Semi-Urban,2019-12-14
ACC01272,CUST00198,BR002,Current,2025-09-28,27185.94,Closed,Adam Vaughan,61.0,Male,21619.44,Debbietown,New Roberttown Branch,Lake Crystalbury,Pennsylvania,Rural,2023-06-19
ACC07811,CUST00142,BR013,Salary,2024-10-02,-52946.55,Dormant,Patricia Rodriguez,52.0,Male,63809.46,Deborahchester,Lake Chad Branch,Stevenland,UT,Rural,2021-02-17
ACC03422,CUST07026,BR043,Current,2026-04-20,88962.56,Dormant,Monique Diaz,57.0,Female,31892.41,Allenborough,North Jessicaland Branch,Lake Matthew,Iowa,Urban,2023-07-14
ACC07326,CUST00538,BR033,Current,2024-06-13,53700.13,Active,Emma Owens,51.0,Male,54494.39,Lake Christopher,Lake Nicoleview Branch,Lake Debbie,Texas,Semi-Urban,2024-01-09
ACC03553,CUST00123,BR017,Salary,2026-09-02,35850.51,Active,Michelle Harmon,52.0,Male,70421.49,Adamport,West Michael Branch,South Todd,Minnesota,Semi-Urban,2018-07-13
ACC06979,CUST01042,BR003,Current,2024-03-04,34462.39,Active,Kathy Reid,58.0,Male,53396.87,Port Veronicastad,East Jessetown Branch,North Micheleland,Oklahoma,Rural,2022-04-09
ACC03281,CUST06502,BR016,Current,2025-11-03,84224.08,Dormant,Andrew Holder,25.0,Female,58115.4,North Jasontown,Ramirezstad Branch,North Sarabury,Connecticut,Semi-Urban,2017-05-03
ACC05363,CUST02337,BR017,Salary,2025-05-08,58285.98,Dormant,Eric Russell,35.0,Female,39866.13,Evelynhaven,West Michael Branch,South Todd,Minnesota,Semi-Urban,2018-07-13
ACC06607,CUST07419,BR014,Savings,2023-11-11,3120.31,Dormant,Alyssa Morales,55.0,Male,59134.1,East Teresastad,Port Keith Branch,Mortonside,Kansas,Semi-Urban,2019-09-22
ACC09088,CUST00508,BR024,Savings,2024-09-09,84032.64,Dormant,Joshua Vance,49.0,Female,37304.47,East Amanda,Jasonfort Branch,Lake Leeton,Kansas,Urban,2023-03-29
ACC11432,CUST03744,BR016,Current,2025-04-14,43606.53,Active,Patrick Norris,21.0,Female,32279.99,Port Matthewton,Ramirezstad Branch,North Sarabury,Connecticut,Semi-Urban,2017-05-03
ACC00217,CUST07637,BR004,Salary,2025-08-10,86946.5,Dormant,Elizabeth Melton,18.0,Male,60323.26,West Stephaniemouth,Lake Debra Branch,West Elizabeth,Georgia,Urban,2021-06-05
ACC03822,CUST07034,BR030,Salary,2024-03-24,-21348.18,Active,Frank Lawson,38.0,Male,70113.49,Colemanton,East Courtneychester Branch,South Dianeshire,West Virginia,Semi-Urban,2025-07-13
ACC04133,CUST02206,BR022,Savings,2026-02-06,99248.61,Dormant,Vincent Savage,26.0,Male,64902.33,Michaelville,East Lydiamouth Branch,Mooreport,West Virginia,Semi-Urban,2025-05-21
ACC04417,CUST03885,BR040,Current,2025-06-21,59075.45,Dormant,Randy Bradshaw,31.0,Male,41762.45,Martinezside,New Mariotown Branch,Lake Lisaport,Missouri,Rural,2021-12-12
ACC01838,CUST00721,BR046,Current,2026-03-02,25579.91,Active,Raymond Johnson,70.0,Male,46705.74,South Kenneth,Brandtside Branch,North Matthewberg,Minnesota,Semi-Urban,2019-12-14
ACC11038,CUST01904,BR044,Savings,2026-08-16,6380.46,Dormant,Teresa Jones,56.0,Female,29112.85,Dennisville,East Donna Branch,Williamview,Illinois,Urban,2021-09-19
ACC07914,CUST05960,BR027,Current,2024-04-15,18242.58,Closed,Randy Jones,47.0,Female,34980.69,Maxwellchester,Juliechester Branch,Port Jacobland,Nebraska,Rural,2017-06-10
ACC09457,CUST07585,BR023,Salary,2023-11-23,43542.48,Closed,Richard Wilson,60.0,Male,53619.45,North Danielle,Adamsborough Branch,North Beth,Georgia,Semi-Urban,2018-08-27
ACC03125,CUST06595,BR011,Salary,2025-03-14,95782.14,Dormant,Richard Beasley,64.0,Female,50369.26,Timothystad,Herrerafurt Branch,East Jamesside,Minnesota,Rural,2017-02-26
ACC00272,CUST04242,BR021,Salary,2024-06-30,47910.02,Closed,Mario Peters,27.0,Female,40714.65,Annetteville,Lake Mark Branch,Rodneyside,South Carolina,Urban,2024-02-10
ACC06143,CUST03644,BR016,Savings,2023-10-23,79748.1,Dormant,Sandy Oconnor,56.0,Female,82587.58,South Cameron,Ramirezstad Branch,North Sarabury,Connecticut,Semi-Urban,2017-05-03
ACC01473,CUST02139,BR016,Savings,2025-11-14,66547.79,Closed,Charles Roberts,19.0,Female,40567.2,Lake Brittanychester,Ramirezstad Branch,North Sarabury,Connecticut,Semi-Urban,2017-05-03
ACC07199,CUST09567,BR032,Savings,2023-12-20,87092.66,Dormant,Debbie Snow,71.0,Female,43887.91,Lake Stephanietown,Tashatown Branch,Johnfurt,Nebraska,Semi-Urban,2022-11-19
ACC05048,CUST09902,BR003,Salary,2023-11-20,17833.1,Dormant,Bethany Morris,19.0,Female,34388.87,East Lisa,East Jessetown Branch,North Micheleland,Oklahoma,Rural,2022-04-09
ACC06679,CUST06784,BR038,Salary,2024-05-28,31812.14,Closed,Pamela Hubbard,22.0,Female,49823.69,North Douglas,East Nathaniel Branch,East Mikeburgh,Vermont,Urban,2021-10-18
ACC00702,CUST04564,BR030,Salary,2025-05-13,90142.98,Closed,Wendy Smith,40.0,Male,51302.77,Jenkinsport,East Courtneychester Branch,South Dianeshire,West Virginia,Semi-Urban,2025-07-13
ACC00638,CUST05982,BR038,Salary,2025-11-26,20476.88,Dormant,Erin Nelson,23.0,Female,69171.05,Schmidtport,East Nathaniel Branch,East Mikeburgh,Vermont,Urban,2021-10-18
ACC11619,CUST07352,BR015,Current,2025-10-28,68852.68,Dormant,Bernard Chang,49.0,Female,61946.79,Jacobton,Port Jesseville Branch,North Deniseside,Texas,Urban,2021-03-15
ACC05780,CUST04001,BR044,Savings,2024-01-23,82122.46,Closed,Emily Smith,57.0,Female,71785.35,Solisburgh,East Donna Branch,Williamview,Illinois,Urban,2021-09-19
ACC04768,CUST00020,BR045,Salary,2025-04-13,44003.4,Active,Margaret Hawkins DDS,19.0,Female,61336.88,Mariaborough,West Allison Branch,North Cynthiaview,New Jersey,Rural,2018-11-07
ACC02192,CUST00210,BR007,Salary,2026-07-12,70925.3,Closed,Christopher Smith,74.0,Male,45073.72,Reynoldsbury,Lake Roberto Branch,Leeville,Arizona,Semi-Urban,2022-08-29
ACC11453,CUST04439,BR014,Savings,2025-03-15,31860.65,Active,Joshua Adams,20.0,Male,46218.24,Davidberg,Port Keith Branch,Mortonside,Kansas,Semi-Urban,2019-09-22
ACC11131,CUST99999,BR025,Salary,2025-02-10,88327.38,Active,,,,,,Wilkersonmouth Branch,Shawhaven,Hawaii,Urban,2019-12-03
ACC02417,CUST05157,BR024,Salary,2023-11-18,32196.55,Dormant,Laura Bailey,74.0,Female,38675.73,Port Nicholas,Jasonfort Branch,Lake Leeton,Kansas,Urban,2023-03-29
ACC06770,CUST00602,BR046,Savings,2024-12-25,9307.79,Active,Tammy Mcdowell,19.0,Male,76955.16,Matthewmouth,Brandtside Branch,North Matthewberg,Minnesota,Semi-Urban,2019-12-14
ACC11774,CUST09697,BR006,Current,2025-11-23,90065.89,Dormant,Cindy Lang MD,30.0,Female,70321.16,South Robert,Lisatown Branch,Sanchezfort,Florida,Rural,2021-06-08
ACC07603,CUST03561,BR003,Salary,2026-08-23,69724.44,Dormant,Julie Wilson,35.0,Female,66813.21,Port Sallyside,East Jessetown Branch,North Micheleland,Oklahoma,Rural,2022-04-09
ACC05811,CUST09486,BR018,Salary,2024-09-02,26555.03,Closed,Brian Hunter,64.0,Female,54706.19,Caitlinport,Jacquelineland Branch,Port Richard,Wyoming,Semi-Urban,2024-01-30
ACC04189,CUST01530,BR027,Salary,2026-04-19,64936.75,Closed,Justin Freeman,40.0,Female,23189.11,,Juliechester Branch,Port Jacobland,Nebraska,Rural,2017-06-10
ACC07229,CUST00038,BR024,Current,2024-06-06,6964.91,Active,Elizabeth Fowler,64.0,Male,51807.97,Joshuaton,Jasonfort Branch,Lake Leeton,Kansas,Urban,2023-03-29
ACC04461,CUST05771,BR018,Salary,2024-12-22,83755.05,Closed,Wyatt Kerr,66.0,Female,46111.87,Lewischester,Jacquelineland Branch,Port Richard,Wyoming,Semi-Urban,2024-01-30
ACC00488,CUST00070,BR036,Current,2025-03-07,85364.84,Closed,Jordan Henderson,53.0,Male,51071.84,Port Mary,Teresaburgh Branch,North Amandahaven,LO,Rural,2022-01-10
ACC05278,CUST05451,BR002,Salary,2025-11-07,5273.98,Active,Tammy Jackson,50.0,Male,37904.69,West Dennis,New Roberttown Branch,Lake Crystalbury,Pennsylvania,Rural,2023-06-19
ACC03901,CUST05798,BR034,Current,2025-04-03,15419.16,Closed,Wayne Robinson,49.0,Male,33271.18,Navarrobury,Danielchester Branch,Stewartland,West Virginia,Rural,2017-11-16
ACC06560,CUST07795,BR040,Current,2025-03-14,30164.05,Closed,Jimmy Smith,43.0,Male,47459.86,,New Mariotown Branch,Lake Lisaport,Missouri,Rural,2021-12-12
ACC02072,CUST01992,BR028,Savings,2023-11-04,3060.35,Closed,Bryan King,30.0,Female,53211.04,Barkerberg,Coxberg Branch,South David,AL,Rural,2024-02-08
ACC10877,CUST00623,BR036,Salary,2025-01-28,32880.66,Closed,Colleen Wright,60.0,Female,39863.15,Maxwellton,Teresaburgh Branch,North Amandahaven,LO,Rural,2022-01-10
ACC11916,CUST03784,BR033,Savings,2024-12-28,11551.13,Active,Erika Castro,26.0,Male,58051.62,Danielton,Lake Nicoleview Branch,Lake Debbie,Texas,Semi-Urban,2024-01-09
ACC04544,CUST04807,BR018,Current,2026-06-17,48490.7,Active,Dean Sanchez,69.0,Female,44602.7,Gabrielmouth,Jacquelineland Branch,Port Richard,Wyoming,Semi-Urban,2024-01-30
ACC01483,CUST02929,BR040,Current,2024-12-20,88576.67,Active,Ronnie Frazier,58.0,Female,59695.31,Mckaymouth,New Mariotown Branch,Lake Lisaport,Missouri,Rural,2021-12-12
ACC04207,CUST00769,BR013,Salary,2024-06-17,43013.55,Closed,Todd Thomas,61.0,Female,62297.56,East Colleen,Lake Chad Branch,Stevenland,UT,Rural,2021-02-17
ACC07743,CUST09702,BR046,Savings,2024-01-29,21703.54,Dormant,Kevin Craig,44.0,Female,31246.55,Port Shawn,Brandtside Branch,North Matthewberg,Minnesota,Semi-Urban,2019-12-14
ACC01532,CUST00770,BR015,Savings,2025-01-06,84386.31,Dormant,Jesse Clark,71.0,Female,53473.5,Hollyborough,Port Jesseville Branch,North Deniseside,Texas,Urban,2021-03-15
ACC11226,CUST04391,BR022,Current,2024-12-22,55415.77,Active,John Garcia,36.0,Male,36086.97,East Robertochester,East Lydiamouth Branch,Mooreport,West Virginia,Semi-Urban,2025-05-21
ACC05868,CUST07324,BR042,Salary,2026-01-30,78101.3,Active,Kathryn Brown,49.0,Male,61402.13,Lake James,North John Branch,West Juan,New Mexico,Rural,2022-03-27
ACC08532,CUST08372,BR036,Current,2025-07-17,86510.94,Closed,Bobby Howard,74.0,Male,36459.06,West Michael,Teresaburgh Branch,North Amandahaven,LO,Rural,2022-01-10
ACC07194,CUST08503,BR014,Salary,2024-07-28,10290.19,Closed,Todd Garcia,73.0,Male,61209.83,Harrisonfurt,Port Keith Branch,Mortonside,Kansas,Semi-Urban,2019-09-22
ACC01451,CUST05655,BR028,Salary,2024-06-06,4398.79,Dormant,Brendan Palmer,42.0,Male,75787.1,East Aaron,Coxberg Branch,South David,AL,Rural,2024-02-08
ACC01283,CUST04341,BR025,Salary,2026-06-27,71048.11,Dormant,Robert Johnson,52.0,Male,43619.19,Rodneyburgh,Wilkersonmouth Branch,Shawhaven,Hawaii,Urban,2019-12-03
ACC09119,CUST01451,BR039,Savings,2023-12-04,58509.35,Active,Vickie Kennedy,60.0,Male,5000000.0,Jonesberg,New Stephanie Branch,Bassport,Connecticut,Rural,2025-04-25
ACC04729,CUST07442,BR036,Current,2025-01-05,34395.84,Closed,Mrs. Sara Hebert,43.0,Female,53392.85,East David,Teresaburgh Branch,North Amandahaven,LO,Rural,2022-01-10
ACC06279,CUST03130,BR035,Current,2025-09-08,39731.73,Closed,Colleen Cox,46.0,Male,60891.24,South Kimborough,South Aaron Branch,South Christineshire,Kansas,Rural,2022-04-21
ACC11393,CUST04769,BR000,Current,2024-06-23,31788.81,Dormant,Tonya Richards,29.0,Male,55969.84,Johnsonville,North Judithbury Branch,West Andrewside,Arizona,Rural,2017-02-02
ACC04478,CUST00302,BR030,Savings,2024-06-26,29104.79,Dormant,Megan Le,28.0,Male,57696.58,North Adrianstad,East Courtneychester Branch,South Dianeshire,West Virginia,Semi-Urban,2025-07-13
ACC06361,CUST04147,BR031,Salary,2025-03-01,41374.26,Active,Larry Lloyd,46.0,Female,23436.1,Calebmouth,South Patrickmouth Branch,Sarahborough,Michigan,Rural,2020-01-15
